ID|transcription|normalized transcription
het zat in een open, zachte plastic bak en was bedekt met een doek|het zat in een open, zachte plastic bak en was bedekt met een doek|het zat in een open, zachte plastic bak en was bedekt met een doek
hete moeder|hete moeder|hete moeder
hier is een melkveehouder met een grote zak kaas|hier is een melkveehouder met een grote zak kaas|hier is een melkveehouder met een grote zak kaas
Hier staat hij op de weg om geen tijd door te brengen op weg naar de studentenstad|Hier staat hij op de weg om geen tijd door te brengen op weg naar de studentenstad|Hier staat hij op de weg om geen tijd door te brengen op weg naar de studentenstad
hierdoor kregen ze instructies van een andere luchthaven|hierdoor kregen ze instructies van een andere luchthaven|hierdoor kregen ze instructies van een andere luchthaven
hij at en zei opgewonden dat hij aan het rusten was toen hij thuiskwam|hij at en zei opgewonden dat hij aan het rusten was toen hij thuiskwam|hij at en zei opgewonden dat hij aan het rusten was toen hij thuiskwam
Hij blafte en blafte totdat hij eindelijk de ezel wist te ontwijken|Hij blafte en blafte totdat hij eindelijk de ezel wist te ontwijken|Hij blafte en blafte totdat hij eindelijk de ezel wist te ontwijken
hij blies mijn hoed af|hij blies mijn hoed af|hij blies mijn hoed af
hij draaide zich om om het hotel binnen te gaan|hij draaide zich om om het hotel binnen te gaan|hij draaide zich om om het hotel binnen te gaan
hij droeg een lappenpop|hij droeg een lappenpop|hij droeg een lappenpop
hij ging naar buiten en keek rond om te zien wie het daar had neergezet|hij ging naar buiten en keek rond om te zien wie het daar had neergezet|hij ging naar buiten en keek rond om te zien wie het daar had neergezet
hij haastte zich langs het konijn dat op het zaad lag, maar stopte toen hij de jakhals bereikte|hij haastte zich langs het konijn dat op het zaad lag, maar stopte toen hij de jakhals bereikte|hij haastte zich langs het konijn dat op het zaad lag, maar stopte toen hij de jakhals bereikte
hij had vandaag helemaal geen grappen|hij had vandaag helemaal geen grappen|hij had vandaag helemaal geen grappen
hij herinnert zich nog de grote race tussen het konijn en de schildpad|hij herinnert zich nog de grote race tussen het konijn en de schildpad|hij herinnert zich nog de grote race tussen het konijn en de schildpad
hij hield ook van schilderen en schilderde wanneer hij de tijd had|hij hield ook van schilderen en schilderde wanneer hij de tijd had|hij hield ook van schilderen en schilderde wanneer hij de tijd had
hij hoorde een jakhals op zijn rug springen|hij hoorde een jakhals op zijn rug springen|hij hoorde een jakhals op zijn rug springen
hij hoorde nog een geluid|hij hoorde nog een geluid|hij hoorde nog een geluid
hij keek naar het leven van een plaatselijke zakenman en hij begon het enorm te waarderen|hij keek naar het leven van een plaatselijke zakenman en hij begon het enorm te waarderen|hij keek naar het leven van een plaatselijke zakenman en hij begon het enorm te waarderen
hij keek naar zijn schapen en kreunde|hij keek naar zijn schapen en kreunde|hij keek naar zijn schapen en kreunde
hij kon het alleen houden als hij de eigenaar niet vond|hij kon het alleen houden als hij de eigenaar niet vond|hij kon het alleen houden als hij de eigenaar niet vond
hij maakt een grapje, meneer, een die hij niet zo goed kan zeggen|hij maakt een grapje, meneer, een die hij niet zo goed kan zeggen|hij maakt een grapje, meneer, een die hij niet zo goed kan zeggen
hij maakte ook een mooie ketting voor de mist|hij maakte ook een mooie ketting voor de mist|hij maakte ook een mooie ketting voor de mist
hij nam het aan en bedankte haar respectvol|hij nam het aan en bedankte haar respectvol|hij nam het aan en bedankte haar respectvol
hij nam zijn jas en zijn rode hoed aan|hij nam zijn jas en zijn rode hoed aan|hij nam zijn jas en zijn rode hoed aan
hij opende onmiddellijk zijn koffer en haalde de overgebleven stukjes brood eruit|hij opende onmiddellijk zijn koffer en haalde de overgebleven stukjes brood eruit|hij opende onmiddellijk zijn koffer en haalde de overgebleven stukjes brood eruit
hij rende naar de schuur en haalde een plank tevoorschijn|hij rende naar de schuur en haalde een plank tevoorschijn|hij rende naar de schuur en haalde een plank tevoorschijn
hij rende weg en liet zijn akker zakken en keek over het hek|hij rende weg en liet zijn akker zakken en keek over het hek|hij rende weg en liet zijn akker zakken en keek over het hek
hij riep onmiddellijk een nieuwe bijeenkomst van alle dieren bijeen|hij riep onmiddellijk een nieuwe bijeenkomst van alle dieren bijeen|hij riep onmiddellijk een nieuwe bijeenkomst van alle dieren bijeen
hij schreeuwde het uit van grote schrik tot hij hardop lachte|hij schreeuwde het uit van grote schrik tot hij hardop lachte|hij schreeuwde het uit van grote schrik tot hij hardop lachte
hij schudde zijn hoofd en hief zijn kin op en tikte met zijn poten|hij schudde zijn hoofd en hief zijn kin op en tikte met zijn poten|hij schudde zijn hoofd en hief zijn kin op en tikte met zijn poten
hij sliep onder zijn bescherming zo lief als een kind|hij sliep onder zijn bescherming zo lief als een kind|hij sliep onder zijn bescherming zo lief als een kind
hij sprong op een van de jongensvoeten en sloeg hem hard|hij sprong op een van de jongensvoeten en sloeg hem hard|hij sprong op een van de jongensvoeten en sloeg hem hard
hij strompelde naar huis in de pijn van de hongerdood, hij maakte zich grote zorgen over de jakhals|hij strompelde naar huis in de pijn van de hongerdood, hij maakte zich grote zorgen over de jakhals|hij strompelde naar huis in de pijn van de hongerdood, hij maakte zich grote zorgen over de jakhals
hij stuurde zijn dieren om het lawaai in het meer hier in het bos te onderdrukken|hij stuurde zijn dieren om het lawaai in het meer hier in het bos te onderdrukken|hij stuurde zijn dieren om het lawaai in het meer hier in het bos te onderdrukken
hij vertelde hen niet over zijn droom die hem in zijn hart deed glimlachen|hij vertelde hen niet over zijn droom die hem in zijn hart deed glimlachen|hij vertelde hen niet over zijn droom die hem in zijn hart deed glimlachen
hij vertelde hun niet over zijn droom die hem zo bang maakte|hij vertelde hun niet over zijn droom die hem zo bang maakte|hij vertelde hun niet over zijn droom die hem zo bang maakte
hij was er zeker van dat geduld niet onbeleefd of respectloos zou zijn|hij was er zeker van dat geduld niet onbeleefd of respectloos zou zijn|hij was er zeker van dat geduld niet onbeleefd of respectloos zou zijn
hij was vijf dagen oud|hij was vijf dagen oud|hij was vijf dagen oud
hij wilde de leeuw niet zien lijden, dorstig en stervend van honger|hij wilde de leeuw niet zien lijden, dorstig en stervend van honger|hij wilde de leeuw niet zien lijden, dorstig en stervend van honger
hij wilde meneer Mandela persoonlijk ontmoeten en de hand schudden|hij wilde meneer Mandela persoonlijk ontmoeten en de hand schudden|hij wilde meneer Mandela persoonlijk ontmoeten en de hand schudden
hij zag de kinderen van het varken in de modder spelen|hij zag de kinderen van het varken in de modder spelen|hij zag de kinderen van het varken in de modder spelen
hij zag een gezicht naar haar kijken|hij zag een gezicht naar haar kijken|hij zag een gezicht naar haar kijken
hij zag jeanne even flauwvallen|hij zag jeanne even flauwvallen|hij zag jeanne even flauwvallen
hij zei dat ik dacht dat dit maar een droom was|hij zei dat ik dacht dat dit maar een droom was|hij zei dat ik dacht dat dit maar een droom was
hmm wees voorzichtig, zei de jakhals|hmm wees voorzichtig, zei de jakhals|hmm wees voorzichtig, zei de jakhals
hoe beklemmend de hitte ook was geweest, het was nu nog beklemmender|hoe beklemmend de hitte ook was geweest, het was nu nog beklemmender|hoe beklemmend de hitte ook was geweest, het was nu nog beklemmender
hoe je rundvlees kookt|hoe je rundvlees kookt|hoe je rundvlees kookt
hoeveel projecten zijn er afgerond|hoeveel projecten zijn er afgerond|hoeveel projecten zijn er afgerond
hoog in de lucht hoestte en niesde hij en liet het zaad vallen|hoog in de lucht hoestte en niesde hij en liet het zaad vallen|hoog in de lucht hoestte en niesde hij en liet het zaad vallen
hou hem in de gaten|hou hem in de gaten|hou hem in de gaten
hun liefde brandde met toenemende helderheid|hun liefde brandde met toenemende helderheid|hun liefde brandde met toenemende helderheid
iedereen schudde het hoofd|iedereen schudde het hoofd|iedereen schudde het hoofd
ifc barcelona speelde gelijkmatig met melodieën bij zonsondergang|ifc barcelona speelde gelijkmatig met melodieën bij zonsondergang|ifc barcelona speelde gelijkmatig met melodieën bij zonsondergang
ifc barcelona versloeg West Bromwich Albion net op tijd voor een penalty shootout|ifc barcelona versloeg West Bromwich Albion net op tijd voor een penalty shootout|ifc barcelona versloeg West Bromwich Albion net op tijd voor een penalty shootout
Ik ben de enige die gekwalificeerd is om de bewaarder van de wereld te zijn|Ik ben de enige die gekwalificeerd is om de bewaarder van de wereld te zijn|Ik ben de enige die gekwalificeerd is om de bewaarder van de wereld te zijn
Ik ben de hele dag alleen in het veld geweest|Ik ben de hele dag alleen in het veld geweest|Ik ben de hele dag alleen in het veld geweest
Ik ben een haas en hij schudt mijn hand|Ik ben een haas en hij schudt mijn hand|Ik ben een haas en hij schudt mijn hand
Ik ben je mistige neefje|Ik ben je mistige neefje|Ik ben je mistige neefje
Ik ben nu misschien moe, maar ik ben nog steeds sneller en sterker dan jij|Ik ben nu misschien moe, maar ik ben nog steeds sneller en sterker dan jij|Ik ben nu misschien moe, maar ik ben nog steeds sneller en sterker dan jij
Ik ben opgevoed zoals de meeste meisjes op Hawaï zijn opgevoed|Ik ben opgevoed zoals de meeste meisjes op Hawaï zijn opgevoed|Ik ben opgevoed zoals de meeste meisjes op Hawaï zijn opgevoed
Ik ben slimmer dan wie dan ook in de stad die leest|Ik ben slimmer dan wie dan ook in de stad die leest|Ik ben slimmer dan wie dan ook in de stad die leest
Ik denk dat ook ik je kan overwinnen door te rennen|Ik denk dat ook ik je kan overwinnen door te rennen|Ik denk dat ook ik je kan overwinnen door te rennen
Ik geloof dat je die manier van spreken in India hebt gevonden|Ik geloof dat je die manier van spreken in India hebt gevonden|Ik geloof dat je die manier van spreken in India hebt gevonden
Ik heb scherpe tanden en klauwen, zei de leeuw|Ik heb scherpe tanden en klauwen, zei de leeuw|Ik heb scherpe tanden en klauwen, zei de leeuw
Ik hield van dit geweldige en leerzame verhaal en blijf goede verhalen voor ons schrijven|Ik hield van dit geweldige en leerzame verhaal en blijf goede verhalen voor ons schrijven|Ik hield van dit geweldige en leerzame verhaal en blijf goede verhalen voor ons schrijven
Ik kan de auto repareren want ik heb een plank in de schuur|Ik kan de auto repareren want ik heb een plank in de schuur|Ik kan de auto repareren want ik heb een plank in de schuur
Ik maak vandaag geen nieuwe kleren|Ik maak vandaag geen nieuwe kleren|Ik maak vandaag geen nieuwe kleren
Ik speel alleen in wat lijkt op een spel dat niet zal worden gewonnen|Ik speel alleen in wat lijkt op een spel dat niet zal worden gewonnen|Ik speel alleen in wat lijkt op een spel dat niet zal worden gewonnen
Ik vond een schommel die het oedeem verklaarde|Ik vond een schommel die het oedeem verklaarde|Ik vond een schommel die het oedeem verklaarde
Ik was de enige die nog over was|Ik was de enige die nog over was|Ik was de enige die nog over was
Ik was zijn beste vriend, zei de melkveehouder|Ik was zijn beste vriend, zei de melkveehouder|Ik was zijn beste vriend, zei de melkveehouder
Ik werk hier vlakbij, waar je iets te eten kunt vinden, zei de man|Ik werk hier vlakbij, waar je iets te eten kunt vinden, zei de man|Ik werk hier vlakbij, waar je iets te eten kunt vinden, zei de man
Ik wil dit kaasbrood, dacht hij, zei de jakhals|Ik wil dit kaasbrood, dacht hij, zei de jakhals|Ik wil dit kaasbrood, dacht hij, zei de jakhals
Ik zal beginnen met het tellen van alle krokodillen en daarna alle konijnen|Ik zal beginnen met het tellen van alle krokodillen en daarna alle konijnen|Ik zal beginnen met het tellen van alle krokodillen en daarna alle konijnen
Ik zal je mijn wagen geven en jij geeft me je plank|Ik zal je mijn wagen geven en jij geeft me je plank|Ik zal je mijn wagen geven en jij geeft me je plank
Ik zal niet weglopen om de korte benen van een oude man te winnen|Ik zal niet weglopen om de korte benen van een oude man te winnen|Ik zal niet weglopen om de korte benen van een oude man te winnen
Ik zie dat jij ook van schilderen houdt|Ik zie dat jij ook van schilderen houdt|Ik zie dat jij ook van schilderen houdt
Ik zie je morgen bij zonsopgang bij deze poort|Ik zie je morgen bij zonsopgang bij deze poort|Ik zie je morgen bij zonsopgang bij deze poort
Ik zorg ervoor dat het statief altijd uitleg geeft over de informatie|Ik zorg ervoor dat het statief altijd uitleg geeft over de informatie|Ik zorg ervoor dat het statief altijd uitleg geeft over de informatie
in Barrington zijn de temperaturen onder de graden|in Barrington zijn de temperaturen onder de graden|in Barrington zijn de temperaturen onder de graden
in cradock graden graden staat er een lichte bries|in cradock graden graden staat er een lichte bries|in cradock graden graden staat er een lichte bries
in dat geval zou het alarm dat vader usmuts erg ongerust zou zijn geweest|in dat geval zou het alarm dat vader usmuts erg ongerust zou zijn geweest|in dat geval zou het alarm dat vader usmuts erg ongerust zou zijn geweest
in de eredivisie versloegen kaizer-leiders de piraten met een score van vier|in de eredivisie versloegen kaizer-leiders de piraten met een score van vier|in de eredivisie versloegen kaizer-leiders de piraten met een score van vier
in de FIFA World Cup versloeg West Ham United Leicester City door een puntloos gelijkspel|in de FIFA World Cup versloeg West Ham United Leicester City door een puntloos gelijkspel|in de FIFA World Cup versloeg West Ham United Leicester City door een puntloos gelijkspel
In de FIFA World Cup werd Manchester United met punten verslagen door Manchester City|In de FIFA World Cup werd Manchester United met punten verslagen door Manchester City|In de FIFA World Cup werd Manchester United met punten verslagen door Manchester City
in de hoorncompetitie spoelden de chefs de piraten met een score van vier|in de hoorncompetitie spoelden de chefs de piraten met een score van vier|in de hoorncompetitie spoelden de chefs de piraten met een score van vier
in de hoorncompetitie spoelden de orlando-piraten de jomo-kosmos met punten aan|in de hoorncompetitie spoelden de orlando-piraten de jomo-kosmos met punten aan|in de hoorncompetitie spoelden de orlando-piraten de jomo-kosmos met punten aan
in de hoorncompetitie spoelden de orlando-piraten die door Polokwane City werden verslagen door een score hierin|in de hoorncompetitie spoelden de orlando-piraten die door Polokwane City werden verslagen door een score hierin|in de hoorncompetitie spoelden de orlando-piraten die door Polokwane City werden verslagen door een score hierin
in de hoorncompetitie werden de bidvests met vier punten verslagen door kaizer-leiders|in de hoorncompetitie werden de bidvests met vier punten verslagen door kaizer-leiders|in de hoorncompetitie werden de bidvests met vier punten verslagen door kaizer-leiders
in de play-offs werd het bidvest verstand geslagen door kaizer leiders met vier punten|in de play-offs werd het bidvest verstand geslagen door kaizer leiders met vier punten|in de play-offs werd het bidvest verstand geslagen door kaizer leiders met vier punten
in de tweede fase van het vertrek van Londen naar Johannesburg in Zuid-Afrika|in de tweede fase van het vertrek van Londen naar Johannesburg in Zuid-Afrika|in de tweede fase van het vertrek van Londen naar Johannesburg in Zuid-Afrika
in een cirkel op het trottoir neemt u de derde afslag|in een cirkel op het trottoir neemt u de derde afslag|in een cirkel op het trottoir neemt u de derde afslag
in het veld op de boerderij graasde de kameel van het paard altijd rustig|in het veld op de boerderij graasde de kameel van het paard altijd rustig|in het veld op de boerderij graasde de kameel van het paard altijd rustig
in het vliegtuig was een babyolifant gewikkeld in een grote deken|in het vliegtuig was een babyolifant gewikkeld in een grote deken|in het vliegtuig was een babyolifant gewikkeld in een grote deken
in philippolis zijn de temperaturen graden|in philippolis zijn de temperaturen graden|in philippolis zijn de temperaturen graden
In plaats van de leeuwenkoning stond een olifantenvrouw naar hem te staren|In plaats van de leeuwenkoning stond een olifantenvrouw naar hem te staren|In plaats van de leeuwenkoning stond een olifantenvrouw naar hem te staren
in psl chippa united versloeg maritzburg verenigd door een score van nee|in psl chippa united versloeg maritzburg verenigd door een score van nee|in psl chippa united versloeg maritzburg verenigd door een score van nee
in psl gouden pijlen verslaan polokwane stad in extra tijd door punten naar|in psl gouden pijlen verslaan polokwane stad in extra tijd door punten naar|in psl gouden pijlen verslaan polokwane stad in extra tijd door punten naar
in psl platina werden sterren verslagen door chippa verenigd door punten|in psl platina werden sterren verslagen door chippa verenigd door punten|in psl platina werden sterren verslagen door chippa verenigd door punten
in psl University of Pretoria versloeg platina-sterren met een score van|in psl University of Pretoria versloeg platina-sterren met een score van|in psl University of Pretoria versloeg platina-sterren met een score van
in psl versloeg jomo cosmos de universiteit van pretoria met vier punten|in psl versloeg jomo cosmos de universiteit van pretoria met vier punten|in psl versloeg jomo cosmos de universiteit van pretoria met vier punten
in psl-wedstrijden versloeg maritzburg united met een puntloos gelijkspel Ajax Kaapstad|in psl-wedstrijden versloeg maritzburg united met een puntloos gelijkspel Ajax Kaapstad|in psl-wedstrijden versloeg maritzburg united met een puntloos gelijkspel Ajax Kaapstad
in Sandton wordt het vanmiddag koud en nat|in Sandton wordt het vanmiddag koud en nat|in Sandton wordt het vanmiddag koud en nat
In september kondigde de mediator de oplossing van het geschil aan|In september kondigde de mediator de oplossing van het geschil aan|In september kondigde de mediator de oplossing van het geschil aan
in september kondigde de omroeper zijn ontslag aan na opnieuw te zijn opgeroepen door het nationaal uitvoerend comité van de anc|in september kondigde de omroeper zijn ontslag aan na opnieuw te zijn opgeroepen door het nationaal uitvoerend comité van de anc|in september kondigde de omroeper zijn ontslag aan na opnieuw te zijn opgeroepen door het nationaal uitvoerend comité van de anc
in september kondigde een bemiddelaar een oplossing voor de onrust aan|in september kondigde een bemiddelaar een oplossing voor de onrust aan|in september kondigde een bemiddelaar een oplossing voor de onrust aan
in Spanje versloeg finale Europese kampioen derde plaats nederland na verlenging|in Spanje versloeg finale Europese kampioen derde plaats nederland na verlenging|in Spanje versloeg finale Europese kampioen derde plaats nederland na verlenging
in Spanje versloeg finale Europese kampioenen derde plaats nederland|in Spanje versloeg finale Europese kampioenen derde plaats nederland|in Spanje versloeg finale Europese kampioenen derde plaats nederland
in supersport united league verslagen door jomo cosmos met vier punten|in supersport united league verslagen door jomo cosmos met vier punten|in supersport united league verslagen door jomo cosmos met vier punten
In Zuid-Afrika is het woord gekleurd racistisch en verwijst het naar mensen met een gemengde etnische achtergrond|In Zuid-Afrika is het woord gekleurd racistisch en verwijst het naar mensen met een gemengde etnische achtergrond|In Zuid-Afrika is het woord gekleurd racistisch en verwijst het naar mensen met een gemengde etnische achtergrond
in Zuid-Afrika is potjiekos een extern gekookte stoofpot|in Zuid-Afrika is potjiekos een extern gekookte stoofpot|in Zuid-Afrika is potjiekos een extern gekookte stoofpot
ja, zo zijn alle mindere dieren van vandaag rein|ja, zo zijn alle mindere dieren van vandaag rein|ja, zo zijn alle mindere dieren van vandaag rein
je hebt geen scherpe tanden zoals de mijne|je hebt geen scherpe tanden zoals de mijne|je hebt geen scherpe tanden zoals de mijne
je hebt waarschijnlijk al mijn rijpe sinaasappel|je hebt waarschijnlijk al mijn rijpe sinaasappel|je hebt waarschijnlijk al mijn rijpe sinaasappel
je hoeft geen lange benen te hebben om een ​​race te winnen, weet je|je hoeft geen lange benen te hebben om een ​​race te winnen, weet je|je hoeft geen lange benen te hebben om een ​​race te winnen, weet je
je kent het goede land dat dichtbij was|je kent het goede land dat dichtbij was|je kent het goede land dat dichtbij was
je kool ziet er geweldig uit|je kool ziet er geweldig uit|je kool ziet er geweldig uit
je kunt met mij zwemmen|je kunt met mij zwemmen|je kunt met mij zwemmen
Je leraar heeft ons deze kleuren geleerd, blauw, blauw, groen en zwart|Je leraar heeft ons deze kleuren geleerd, blauw, blauw, groen en zwart|Je leraar heeft ons deze kleuren geleerd, blauw, blauw, groen en zwart
je moest de pot op je hoofd dragen|je moest de pot op je hoofd dragen|je moest de pot op je hoofd dragen
je moest een touw om zijn nek binden en het achter je aan trekken|je moest een touw om zijn nek binden en het achter je aan trekken|je moest een touw om zijn nek binden en het achter je aan trekken
je wilt echt slim zijn, je voelt zoveel dat je met succes doorstaat|je wilt echt slim zijn, je voelt zoveel dat je met succes doorstaat|je wilt echt slim zijn, je voelt zoveel dat je met succes doorstaat
joja hield er helemaal niet van om een ​​luipaard te zijn|joja hield er helemaal niet van om een ​​luipaard te zijn|joja hield er helemaal niet van om een ​​luipaard te zijn
Jongensdoelman Jackson Mabokgwane blokkeerde de wedstrijd|Jongensdoelman Jackson Mabokgwane blokkeerde de wedstrijd|Jongensdoelman Jackson Mabokgwane blokkeerde de wedstrijd
justin jacobus kreeg een waarschuwing van de scheidsrechter|justin jacobus kreeg een waarschuwing van de scheidsrechter|justin jacobus kreeg een waarschuwing van de scheidsrechter
Kaapse Maleisische huizen verkopen koisteristen voor een half dozijn of dozijn op zondagochtend|Kaapse Maleisische huizen verkopen koisteristen voor een half dozijn of dozijn op zondagochtend|Kaapse Maleisische huizen verkopen koisteristen voor een half dozijn of dozijn op zondagochtend
kameraden maakten deel uit van de soep strikas-spellen|kameraden maakten deel uit van de soep strikas-spellen|kameraden maakten deel uit van de soep strikas-spellen
kauwt blauw|kauwt blauw|kauwt blauw
keek naar mijn hoed op een oude granaatappelboom|keek naar mijn hoed op een oude granaatappelboom|keek naar mijn hoed op een oude granaatappelboom
kempton park golfbaan staat bekend als een club waar ernie els golfen hebben leren spelen|kempton park golfbaan staat bekend als een club waar ernie els golfen hebben leren spelen|kempton park golfbaan staat bekend als een club waar ernie els golfen hebben leren spelen
Khalai wordt wakker en praat met de sinaasappelboom|Khalai wordt wakker en praat met de sinaasappelboom|Khalai wordt wakker en praat met de sinaasappelboom
Kimberly-temperaturen zijn 2 graden|Kimberly-temperaturen zijn 2 graden|Kimberly-temperaturen zijn 2 graden
knielde voor haar neer en vroeg haar om zijn vrouw te worden|knielde voor haar neer en vroeg haar om zijn vrouw te worden|knielde voor haar neer en vroeg haar om zijn vrouw te worden
kom bij ons studeren|kom bij ons studeren|kom bij ons studeren
kool ter grootte van het hoofd van een baby verscheen en de bonen kwamen door het hek omhoog|kool ter grootte van het hoofd van een baby verscheen en de bonen kwamen door het hek omhoog|kool ter grootte van het hoofd van een baby verscheen en de bonen kwamen door het hek omhoog
kwam hier beneden, zei mijn vriend de chauffeur|kwam hier beneden, zei mijn vriend de chauffeur|kwam hier beneden, zei mijn vriend de chauffeur
laat hem het volledige bedrag zien|laat hem het volledige bedrag zien|laat hem het volledige bedrag zien
laat hem je gouden ster houden, zei hij|laat hem je gouden ster houden, zei hij|laat hem je gouden ster houden, zei hij
laat me een bh tsotsi zoeken en dat stuk papier pakken|laat me een bh tsotsi zoeken en dat stuk papier pakken|laat me een bh tsotsi zoeken en dat stuk papier pakken
lachte de arend deze dieren konden alleen de dieren op de grond zien|lachte de arend deze dieren konden alleen de dieren op de grond zien|lachte de arend deze dieren konden alleen de dieren op de grond zien
laten we zwemmen, zei het geschenk|laten we zwemmen, zei het geschenk|laten we zwemmen, zei het geschenk
Later hoorde een rijke man over dit magische penseel|Later hoorde een rijke man over dit magische penseel|Later hoorde een rijke man over dit magische penseel
maak je geen zorgen vrienden hij is de kleinzoon van mijn grootvader|maak je geen zorgen vrienden hij is de kleinzoon van mijn grootvader|maak je geen zorgen vrienden hij is de kleinzoon van mijn grootvader
maak je geen zorgen, hij zei dat hij met een plan liep|maak je geen zorgen, hij zei dat hij met een plan liep|maak je geen zorgen, hij zei dat hij met een plan liep
maak je ontbijt af, zei oma|maak je ontbijt af, zei oma|maak je ontbijt af, zei oma
Macdougall klopte wantrouwend op zijn voorhoofd met zijn dikke wijsvinger|Macdougall klopte wantrouwend op zijn voorhoofd met zijn dikke wijsvinger|Macdougall klopte wantrouwend op zijn voorhoofd met zijn dikke wijsvinger
maggoze droomde ervan piloot te worden|maggoze droomde ervan piloot te worden|maggoze droomde ervan piloot te worden
Manchester United versloeg Manchester City door Manchester United|Manchester United versloeg Manchester City door Manchester United|Manchester United versloeg Manchester City door Manchester United
mannen die het verdragen noemen het een levende dood|mannen die het verdragen noemen het een levende dood|mannen die het verdragen noemen het een levende dood
Maritzburg United versloeg Swansea City door een puntloos gelijkspel na strafschoppen|Maritzburg United versloeg Swansea City door een puntloos gelijkspel na strafschoppen|Maritzburg United versloeg Swansea City door een puntloos gelijkspel na strafschoppen
Markeer welke pet ik vandaag draag|Markeer welke pet ik vandaag draag|Markeer welke pet ik vandaag draag
Meneer Konijn keek op en zag de man in het blauwe uniform|Meneer Konijn keek op en zag de man in het blauwe uniform|Meneer Konijn keek op en zag de man in het blauwe uniform
Meneer Konijn kijkt naar de nieuwe folder|Meneer Konijn kijkt naar de nieuwe folder|Meneer Konijn kijkt naar de nieuwe folder
Meneer Konijn zag mensen in de rij staan ​​om in de taxi te stappen|Meneer Konijn zag mensen in de rij staan ​​om in de taxi te stappen|Meneer Konijn zag mensen in de rij staan ​​om in de taxi te stappen
mengt nu het hele mengsel van andere variëteiten|mengt nu het hele mengsel van andere variëteiten|mengt nu het hele mengsel van andere variëteiten
met het geluid van geldschieters is de echte beloning die je krijgt voor een gestolen zoete geur|met het geluid van geldschieters is de echte beloning die je krijgt voor een gestolen zoete geur|met het geluid van geldschieters is de echte beloning die je krijgt voor een gestolen zoete geur
meteorologische diensten voorspellen de kans op een milde oostenwind|meteorologische diensten voorspellen de kans op een milde oostenwind|meteorologische diensten voorspellen de kans op een milde oostenwind
Meteorologische diensten voorspellen regenval in de noordwestelijke provincie|Meteorologische diensten voorspellen regenval in de noordwestelijke provincie|Meteorologische diensten voorspellen regenval in de noordwestelijke provincie
meteorologische diensten voorspellen regenval in de westelijke kaap|meteorologische diensten voorspellen regenval in de westelijke kaap|meteorologische diensten voorspellen regenval in de westelijke kaap
meter nemen west|meter nemen west|meter nemen west
meters draaien naar rechts en houden dan links aan|meters draaien naar rechts en houden dan links aan|meters draaien naar rechts en houden dan links aan
middenvelder koper gopane trapte schoppen in de hoek|middenvelder koper gopane trapte schoppen in de hoek|middenvelder koper gopane trapte schoppen in de hoek
middenvelder Tshepang Machedi trapte de bal in de doelpaal|middenvelder Tshepang Machedi trapte de bal in de doelpaal|middenvelder Tshepang Machedi trapte de bal in de doelpaal
mijn naam is pauline|mijn naam is pauline|mijn naam is pauline
mijn pet werd ondersteund door een tak van een oude pijnboom|mijn pet werd ondersteund door een tak van een oude pijnboom|mijn pet werd ondersteund door een tak van een oude pijnboom
mijn vriend Glory houdt van voetbal|mijn vriend Glory houdt van voetbal|mijn vriend Glory houdt van voetbal
morgen ga ik achter die beer aan, zei hij|morgen ga ik achter die beer aan, zei hij|morgen ga ik achter die beer aan, zei hij
morgen is het zondag en eten we alleen kool als avondeten|morgen is het zondag en eten we alleen kool als avondeten|morgen is het zondag en eten we alleen kool als avondeten
na een tijdje zie je een uil|na een tijdje zie je een uil|na een tijdje zie je een uil
naar welk artikel u verwijst|naar welk artikel u verwijst|naar welk artikel u verwijst
naast zijn zijde glinsterden de witte slagtanden van een wolfshond|naast zijn zijde glinsterden de witte slagtanden van een wolfshond|naast zijn zijde glinsterden de witte slagtanden van een wolfshond
nee het doet het gewoon niet|nee het doet het gewoon niet|nee het doet het gewoon niet
neem voor deze kilometers de afslag naar links|neem voor deze kilometers de afslag naar links|neem voor deze kilometers de afslag naar links
neem voor deze kilometers r naar harrismith|neem voor deze kilometers r naar harrismith|neem voor deze kilometers r naar harrismith
neem voor deze kilometers r noordwaarts|neem voor deze kilometers r noordwaarts|neem voor deze kilometers r noordwaarts
negenennegentig|negenennegentig|negenennegentig
niet door die trucs, zei ululu|niet door die trucs, zei ululu|niet door die trucs, zei ululu
O arm varken|O arm varken|O arm varken
oh daar regent het weer|oh daar regent het weer|oh daar regent het weer
oh het was zo comfortabel het was zo warm dat het me niet stoorde|oh het was zo comfortabel het was zo warm dat het me niet stoorde|oh het was zo comfortabel het was zo warm dat het me niet stoorde
oh jij leugenaar denk je dat ik je weer kan geloven|oh jij leugenaar denk je dat ik je weer kan geloven|oh jij leugenaar denk je dat ik je weer kan geloven
Oh mijn baby, zei mijn moeder met een geruststellende stem|Oh mijn baby, zei mijn moeder met een geruststellende stem|Oh mijn baby, zei mijn moeder met een geruststellende stem
oh mijn heer zei zijn vader|oh mijn heer zei zijn vader|oh mijn heer zei zijn vader
oh nee zei de stad|oh nee zei de stad|oh nee zei de stad
oh zei hij opgewonden|oh zei hij opgewonden|oh zei hij opgewonden
ok zei, weet je, laten we een wedstrijd houden|ok zei, weet je, laten we een wedstrijd houden|ok zei, weet je, laten we een wedstrijd houden
onder graden graden in de Earlington zijn er ook harde wind|onder graden graden in de Earlington zijn er ook harde wind|onder graden graden in de Earlington zijn er ook harde wind
